rt,url,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,test_part,boxes_type,utt_type,correct_side,responses,subid,accuracy
4826.554999977816,recaptcha.html,external-html,0,4842,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,xmrv_dtmy_kgdf,NA
139450.30999998562,consent/consent.html,external-html,1,144320,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,xmrv_dtmy_kgdf,NA
10412.77500000433,NA,html-button-response,2,154735,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,xmrv_dtmy_kgdf,NA
10495.54000000353,NA,html-button-response,3,167233,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,xmrv_dtmy_kgdf,NA
5972.705000021961,NA,html-button-response,4,173208,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,xmrv_dtmy_kgdf,NA
4304.694999998901,NA,html-button-response,5,177514,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>",1,test,entropy,complex,0,NA,xmrv_dtmy_kgdf,0
27292.774999979883,NA,survey-text,6,204811,0.0-4.0,NA,NA,comment,NA,NA,NA,the pattern,xmrv_dtmy_kgdf,NA
2473.485000024084,NA,html-button-response,7,207286,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,xmrv_dtmy_kgdf,NA
39321.510000154376,recaptcha.html,external-html,0,39483,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,xowt_voay_evlr,NA
69346.81500028819,consent/consent.html,external-html,1,109035,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,xowt_voay_evlr,NA
1564.265000168234,NA,html-button-response,2,110603,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,xowt_voay_evlr,NA
49916.07500007376,NA,html-button-response,3,162524,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,xowt_voay_evlr,NA
15547.610000241548,NA,html-button-response,4,178075,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,xowt_voay_evlr,NA
